filepath,line_number,string_content,category,surrounding_code
lib\data\models\material_model.dart,459,createdBy,INTERNAL,"'createdBy': createdBy,"
lib\data\models\material_model.dart,460,updatedBy,INTERNAL,"'updatedBy': updatedBy,"
lib\data\models\material_model.dart,461,version,KEYS,"'version': version,"
lib\data\models\material_model.dart,462,metadata,KEYS,"'metadata': metadata,"
lib\data\models\material_model.dart,559,En attente,UI_VISIBLE,return 'En attente';
lib\data\models\material_model.dart,561,Approuvé,INTERNAL,return 'Approuvé';
lib\data\models\material_model.dart,563,Rejeté,INTERNAL,return 'Rejeté';
lib\data\models\material_model.dart,565,En quarantaine,UI_VISIBLE,return 'En quarantaine';
lib\data\models\material_model.freezed.dart,6,material_model.dart,UI_VISIBLE,part of 'material_model.dart';
lib\data\models\material_model.freezed.dart,15,It seems like you constructed your class using `MyClass._()`. This constructor is only meant to be used by freezed and you are not supposed to need it nor use it.\nPlease check the documentation here for more information: https://github.com/rrousselGit/freezed#[REDACTED],UI_VISIBLE,'It seems like you constructed your class using `MyClass._()`. This constructor is only meant to be used by freezed and you are not supposed to need it nor use it.\nPlease check the documentation here for more information: https://github.com/rrousselGit/freezed#[REDACTED]');
lib\data\models\material_model.freezed.dart,153,vm:prefer-inline,UI_VISIBLE,@pragma('vm:prefer-inline')
lib\data\models\material_model.freezed.dart,333,vm:prefer-inline,UI_VISIBLE,@pragma('vm:prefer-inline')
lib\data\models\material_model.freezed.dart,639,"Material(reference: $reference, name: $name, description: $description, category: $category, unit: $unit, minimumStock: $minimumStock, maximumStock: $maximumStock, currentStock: $currentStock, reservedStock: $reservedStock, availableStock: $availableStock, unitCost: $unitCost, supplierName: $supplierName, supplierReference: $supplierReference, leadTimeDays: $leadTimeDays, storageLocation: $storageLocation, safetyStock: $safetyStock, qualitySpecifications: $qualitySpecifications, batches: $batches, isActive: $isActive, createdAt: $createdAt, updatedAt: $updatedAt, createdBy: $createdBy, updatedBy: $updatedBy, version: $version, metadata: $metadata)",UI_VISIBLE,"return 'Material(reference: $reference, name: $name, description: $description, category: $category, unit: $unit, minimumStock: $minimumStock, maximumStock: $maximumStock, currentStock: $currentStock, reservedStock: $reservedStock, availableStock: $availableStock, unitCost: $unitCost, supplierName: $supplierName, supplierReference: $supplierReference, leadTimeDays: $leadTimeDays, storageLocation: $storageLocation, safetyStock: $safetyStock, qualitySpecifications: $qualitySpecifications, batches: $batches, isActive: $isActive, createdAt: $createdAt, updatedAt: $updatedAt, createdBy: $createdBy, updatedBy: $updatedBy, version: $version, metadata: $metadata)';"
lib\data\models\material_model.freezed.dart,729,vm:prefer-inline,UI_VISIBLE,@pragma('vm:prefer-inline')
lib\data\models\material_model.freezed.dart,974,vm:prefer-inline,UI_VISIBLE,@pragma('vm:prefer-inline')
lib\data\models\material_model.freezed.dart,1088,vm:prefer-inline,UI_VISIBLE,@pragma('vm:prefer-inline')
lib\data\models\material_model.freezed.dart,1250,"MaterialBatch(batchId: $batchId, quantity: $quantity, qualityStatus: $qualityStatus, supplierBatchId: $supplierBatchId, manufacturingDate: $manufacturingDate, expirationDate: $expirationDate, receiptDate: $receiptDate, qualityCheckDate: $qualityCheckDate, qualityInspector: $qualityInspector, qualityNotes: $qualityNotes, certificateReference: $certificateReference, storageConditions: $storageConditions, remainingQuantity: $remainingQuantity, isActive: $isActive)",UI_VISIBLE,"return 'MaterialBatch(batchId: $batchId, quantity: $quantity, qualityStatus: $qualityStatus, supplierBatchId: $supplierBatchId, manufacturingDate: $manufacturingDate, expirationDate: $expirationDate, receiptDate: $receiptDate, qualityCheckDate: $qualityCheckDate, qualityInspector: $qualityInspector, qualityNotes: $qualityNotes, certificateReference: $certificateReference, storageConditions: $storageConditions, remainingQuantity: $remainingQuantity, isActive: $isActive)';"
lib\data\models\material_model.freezed.dart,1310,vm:prefer-inline,UI_VISIBLE,@pragma('vm:prefer-inline')
lib\data\models\material_model.g.dart,3,material_model.dart,UI_VISIBLE,part of 'material_model.dart';
lib\data\models\material_model.g.dart,11,reference,KEYS,"reference: json['reference'] as String,"
lib\data\models\material_model.g.dart,12,name,KEYS,"name: json['name'] as String,"
lib\data\models\material_model.g.dart,13,description,KEYS,"description: json['description'] as String,"
lib\data\models\material_model.g.dart,14,category,KEYS,"tegoryEnumMap, json['category']),"
lib\data\models\material_model.g.dart,15,unit,KEYS,"alUnitEnumMap, json['unit']),"
lib\data\models\material_model.g.dart,16,minimumStock,INTERNAL,minimumStock: (json['minimumStock'] as num?)?.toInt()
lib\data\models\material_model.g.dart,17,maximumStock,INTERNAL,"maximumStock: (json['maximumStock'] as num?)?.toInt(),"
lib\data\models\material_model.g.dart,18,currentStock,INTERNAL,currentStock: (json['currentStock'] as num?)?.toDouble
lib\data\models\material_model.g.dart,19,reservedStock,INTERNAL,eservedStock: (json['reservedStock'] as num?)?.toDouble
lib\data\models\material_model.g.dart,20,availableStock,INTERNAL,ailableStock: (json['availableStock'] as num?)?.toDouble
lib\data\models\material_model.g.dart,21,unitCost,INTERNAL,unitCost: (json['unitCost'] as num?)?.toDouble
lib\data\models\material_model.g.dart,22,supplierName,INTERNAL,"supplierName: json['supplierName'] as String?,"
lib\data\models\material_model.g.dart,23,supplierReference,INTERNAL,"lierReference: json['supplierReference'] as String?,"
lib\data\models\material_model.g.dart,24,leadTimeDays,INTERNAL,"leadTimeDays: (json['leadTimeDays'] as num?)?.toInt(),"
lib\data\models\material_model.g.dart,25,storageLocation,INTERNAL,"orageLocation: json['storageLocation'] as String?,"
lib\data\models\material_model.g.dart,26,safetyStock,INTERNAL,safetyStock: (json['safetyStock'] as num?)?.toDouble
lib\data\models\material_model.g.dart,27,qualitySpecifications,INTERNAL,ecifications: (json['qualitySpecifications'] as List<dynamic>?)
lib\data\models\material_model.g.dart,31,batches,KEYS,batches: (json['batches'] as List<dynamic>?)
lib\data\models\material_model.g.dart,35,isActive,INTERNAL,"isActive: json['isActive'] as bool? ?? true,"
lib\data\models\material_model.g.dart,36,createdAt,INTERNAL,"DateTime.parse(json['createdAt'] as String),"
lib\data\models\material_model.g.dart,37,updatedAt,INTERNAL,"DateTime.parse(json['updatedAt'] as String),"
lib\data\models\material_model.g.dart,38,createdBy,INTERNAL,"createdBy: json['createdBy'] as String,"
lib\data\models\material_model.g.dart,39,updatedBy,INTERNAL,"updatedBy: json['updatedBy'] as String?,"
lib\data\models\material_model.g.dart,40,version,KEYS,version: (json['version'] as num?)?.toInt()
lib\data\models\material_model.g.dart,41,metadata,KEYS,"metadata: json['metadata'] as Map<String, dyn"
lib\data\models\material_model.g.dart,46,reference,KEYS,'reference': instance.reference
lib\data\models\material_model.g.dart,47,name,KEYS,"'name': instance.name,"
lib\data\models\material_model.g.dart,48,description,KEYS,'description': instance.descripti
lib\data\models\material_model.g.dart,49,category,KEYS,'category': _$MaterialCategory
lib\data\models\material_model.g.dart,50,unit,KEYS,'unit': _$MaterialUnitEnum
lib\data\models\material_model.g.dart,51,minimumStock,INTERNAL,'minimumStock': instance.minimumSt
lib\data\models\material_model.g.dart,52,maximumStock,INTERNAL,'maximumStock': instance.maximumSt
lib\data\models\material_model.g.dart,53,currentStock,INTERNAL,'currentStock': instance.currentSt
lib\data\models\material_model.g.dart,54,reservedStock,INTERNAL,'reservedStock': instance.reservedS
lib\data\models\material_model.g.dart,55,availableStock,INTERNAL,'availableStock': instance.available
lib\data\models\material_model.g.dart,56,unitCost,INTERNAL,"'unitCost': instance.unitCost,"
lib\data\models\material_model.g.dart,57,supplierName,INTERNAL,'supplierName': instance.supplierN
lib\data\models\material_model.g.dart,58,supplierReference,INTERNAL,'supplierReference': instance.supplierR
lib\data\models\material_model.g.dart,59,leadTimeDays,INTERNAL,'leadTimeDays': instance.leadTimeD
lib\data\models\material_model.g.dart,60,storageLocation,INTERNAL,'storageLocation': instance.storageLo
lib\data\models\material_model.g.dart,61,safetyStock,INTERNAL,'safetyStock': instance.safetySto
lib\data\models\material_model.g.dart,62,qualitySpecifications,INTERNAL,'qualitySpecifications': instance.qualitySp
lib\data\models\material_model.g.dart,63,batches,KEYS,"'batches': instance.batches,"
lib\data\models\material_model.g.dart,64,isActive,INTERNAL,"'isActive': instance.isActive,"
lib\data\models\material_model.g.dart,65,createdAt,INTERNAL,'createdAt': instance.createdAt
lib\data\models\material_model.g.dart,66,updatedAt,INTERNAL,'updatedAt': instance.updatedAt
lib\data\models\material_model.g.dart,67,createdBy,INTERNAL,'createdBy': instance.createdBy
lib\data\models\material_model.g.dart,68,updatedBy,INTERNAL,'updatedBy': instance.updatedBy
lib\data\models\material_model.g.dart,69,version,KEYS,"'version': instance.version,"
lib\data\models\material_model.g.dart,70,metadata,KEYS,"'metadata': instance.metadata,"
lib\data\models\material_model.g.dart,74,rawMaterial,INTERNAL,"tegory.rawMaterial: 'rawMaterial',"
lib\data\models\material_model.g.dart,75,component,KEYS,"Category.component: 'component',"
lib\data\models\material_model.g.dart,76,packaging,KEYS,"Category.packaging: 'packaging',"
lib\data\models\material_model.g.dart,77,consumable,KEYS,"ategory.consumable: 'consumable',"
lib\data\models\material_model.g.dart,78,chemical,KEYS,"lCategory.chemical: 'chemical',"
lib\data\models\material_model.g.dart,79,other,KEYS,"rialCategory.other: 'other',"
lib\data\models\material_model.g.dart,83,piece,KEYS,"MaterialUnit.piece: 'piece',"
lib\data\models\material_model.g.dart,84,kilogram,KEYS,"erialUnit.kilogram: 'kilogram',"
lib\data\models\material_model.g.dart,85,gram,KEYS,"MaterialUnit.gram: 'gram',"
lib\data\models\material_model.g.dart,86,liter,KEYS,"MaterialUnit.liter: 'liter',"
lib\data\models\material_model.g.dart,87,milliliter,KEYS,"ialUnit.milliliter: 'milliliter',"
lib\data\models\material_model.g.dart,88,meter,KEYS,"MaterialUnit.meter: 'meter',"
lib\data\models\material_model.g.dart,89,squareMeter,INTERNAL,"alUnit.squareMeter: 'squareMeter',"
lib\data\models\material_model.g.dart,90,cubicMeter,INTERNAL,"ialUnit.cubicMeter: 'cubicMeter',"
lib\data\models\material_model.g.dart,91,box,KEYS,"MaterialUnit.box: 'box',"
lib\data\models\material_model.g.dart,92,pallet,KEYS,"aterialUnit.pallet: 'pallet',"
lib\data\models\material_model.g.dart,93,roll,KEYS,"MaterialUnit.roll: 'roll',"
lib\data\models\material_model.g.dart,94,other,KEYS,"MaterialUnit.other: 'other',"
lib\data\models\material_model.g.dart,99,batchId,INTERNAL,"batchId: json['batchId'] as String,"
lib\data\models\material_model.g.dart,100,quantity,KEYS,quantity: (json['quantity'] as num).toDouble()
lib\data\models\material_model.g.dart,102,qualityStatus,INTERNAL,"StatusEnumMap, json['qualityStatus']) ??"
lib\data\models\material_model.g.dart,104,supplierBatchId,INTERNAL,"pplierBatchId: json['supplierBatchId'] as String?,"
lib\data\models\material_model.g.dart,105,manufacturingDate,INTERNAL,facturingDate: json['manufacturingDate'] == null
lib\data\models\material_model.g.dart,107,manufacturingDate,INTERNAL,"DateTime.parse(json['manufacturingDate'] as String),"
lib\data\models\material_model.g.dart,108,expirationDate,INTERNAL,xpirationDate: json['expirationDate'] == null
lib\data\models\material_model.g.dart,110,expirationDate,INTERNAL,"DateTime.parse(json['expirationDate'] as String),"
lib\data\models\material_model.g.dart,111,receiptDate,INTERNAL,"DateTime.parse(json['receiptDate'] as String),"
lib\data\models\material_model.g.dart,112,qualityCheckDate,INTERNAL,lityCheckDate: json['qualityCheckDate'] == null
lib\data\models\material_model.g.dart,114,qualityCheckDate,INTERNAL,"DateTime.parse(json['qualityCheckDate'] as String),"
lib\data\models\material_model.g.dart,115,qualityInspector,INTERNAL,"lityInspector: json['qualityInspector'] as String?,"
lib\data\models\material_model.g.dart,116,qualityNotes,INTERNAL,"qualityNotes: json['qualityNotes'] as String?,"
lib\data\models\material_model.g.dart,117,certificateReference,INTERNAL,"cateReference: json['certificateReference'] as String?,"
lib\data\models\material_model.g.dart,118,storageConditions,INTERNAL,"ageConditions: json['storageConditions'] as String?,"
lib\data\models\material_model.g.dart,119,remainingQuantity,INTERNAL,ningQuantity: (json['remainingQuantity'] as num?)?.toDouble
lib\data\models\material_model.g.dart,120,isActive,INTERNAL,"isActive: json['isActive'] as bool? ?? true,"
lib\data\models\material_model.g.dart,125,batchId,INTERNAL,"'batchId': instance.batchId,"
lib\data\models\material_model.g.dart,126,quantity,KEYS,"'quantity': instance.quantity,"
lib\data\models\material_model.g.dart,127,qualityStatus,INTERNAL,'qualityStatus': _$MaterialQualityS
lib\data\models\material_model.g.dart,128,supplierBatchId,INTERNAL,'supplierBatchId': instance.supplierB
lib\data\models\material_model.g.dart,129,manufacturingDate,INTERNAL,'manufacturingDate': instance.manufactu
lib\data\models\material_model.g.dart,130,expirationDate,INTERNAL,'expirationDate': instance.expiratio
lib\data\models\material_model.g.dart,131,receiptDate,INTERNAL,'receiptDate': instance.receiptDa
lib\data\models\material_model.g.dart,132,qualityCheckDate,INTERNAL,'qualityCheckDate': instance.qualityCh
lib\data\models\material_model.g.dart,133,qualityInspector,INTERNAL,'qualityInspector': instance.qualityIn
lib\data\models\material_model.g.dart,134,qualityNotes,INTERNAL,'qualityNotes': instance.qualityNo
lib\data\models\material_model.g.dart,135,certificateReference,INTERNAL,'certificateReference': instance.certifica
lib\data\models\material_model.g.dart,136,storageConditions,INTERNAL,'storageConditions': instance.storageCo
lib\data\models\material_model.g.dart,137,remainingQuantity,INTERNAL,'remainingQuantity': instance.remaining
lib\data\models\material_model.g.dart,138,isActive,INTERNAL,"'isActive': instance.isActive,"
lib\data\models\material_model.g.dart,142,pending,KEYS,"lityStatus.pending: 'pending',"
